"id","usuario","deck","skill","ndmax","zerotg","zephra","bryan","xenoblur"
1,"0953","Code Talker","Codificador Hablador Vivo","2022-11-08",True,False,False,False
2,"6256","Railway","Tren Imparable","2022-11-08",True,False,False,False
3,"6100","Salamangreat","Vinculaciones","2022-11-08",True,False,False,False
5,"6657","Mekk-Knights","Mecanismos Antigüos","2022-11-08",True,False,False,False
7,"9963","Wounded Heros","Héroe Herido","2022-11-08",False,True,False,False
8,"2707","Fish Shark","El alzamiento de Shark","2022-11-08",False,True,False,False
38,"7322","Railway","Tren Imparable","2022-11-10",True,True,False,True
6,"9851","Mekk-Knights","Mecanismos Antigüos","2022-11-08",True,True,False,False
52,"9857","Code Talker","Codificador Hablador Vivo","2022-11-10",False,True,False,True
4,"9310","Burning Abyss","Mente de la Plana","2022-11-08",True,True,True,True
10,"3107","Mekk-Knights","Mecanismos Antigüos","2022-11-09",True,False,False,False
13,"1463","Mekk-Knights","Mecanismos Antigüos","2022-11-09",True,False,False,False
15,"0461","Salamangreat","Vinculaciones","2022-11-09",True,False,False,False
19,"3427","Railway","Tren Imparable","2022-11-09",True,False,False,False
9,"9881","Mekk-Knights","Mecanismos Antigüos","2022-11-09",True,True,False,False
14,"4306","Code Talker","Codificador Hablador Vivo","2022-11-09",True,True,False,False
16,"2328","Blackwings","Viento Negro hasta la Cima","2022-11-09",True,True,False,False
17,"3248","Mermail Atlantean","Territorio de Tiburones","2022-11-09",True,True,False,False
21,"0196","Infernoid","Con Valor","2022-11-09",False,True,False,False
22,"6412","Wounded Heros","Héroe Herido","2022-11-09",False,True,False,False
24,"6080","Salamangreat","Vinculaciones","2022-11-09",False,True,False,False
25,"1225","War Rock","Oleada de Iluminación","2022-11-09",False,True,False,False
26,"7382","Infernoid","Con Valor","2022-11-09",False,True,False,False
23,"6077","Odd-Eyes","Xiangke y Xiangsheng","2022-11-09",False,True,True,False
18,"2250","Odd-Eyes","Xiangke y Xiangsheng","2022-11-09",True,False,True,False
