usuario,deck,skill,ndmax,zerotg,zephra,bryan,xenoblur,yamiglen,rax
0294,Trickstar,Tres Efectos,2023-05-30,1,0,0,0,0,0
9881,Speedroid,Aceleración ala Transparente,2023-05-31,1,1,0,0,0,0
9651,Elemental Heros,Alianza de Héroes,2023-05-31,1,1,1,1,1,1
4074,Orcust,Cambios,2023-05-31,1,1,0,0,0,0
3107,Starry Knight,Sonrisa del Hada,2023-05-31,1,0,0,0,0,0
6657,Speedroid,Aceleración ala Transparente,2023-05-31,1,1,0,0,0,0
2947,Odd-Eyes,Péndulo Rabioso,2023-05-31,1,0,0,0,0,0
9257,Orcust,Llamada del Guardían,2023-05-31,0,1,1,0,0,0
0928,Speedroid,Aceleración ala Transparente,2023-05-31,0,1,0,0,0,0
9583,Orcust,Cambios,2023-05-31,0,1,1,0,0,0
6569,Odd-Eyes,Péndulo Rabioso,2023-05-31,1,1,1,0,0,0
7217,Resonators,Alma Rugiente,2023-05-31,0,0,1,0,0,0
1317,Orcust,Tumbas Selladas,2023-05-31,0,0,1,0,0,1
7563,Speedroid,Aceleración ala Transparente,2023-05-31,0,0,1,0,0,0
1756,Synchrons,Camino de la Estrella Fugaz,2023-05-31,0,1,0,0,1,0
4319,Speedroid,Aceleración ala Transparente,2023-05-31,1,0,0,0,1,0
6325,Evil Eye,Afinación de Nivel,2023-05-31,0,1,1,1,0,1
2848,Solfachord,Péndulos Unidos,2023-06-01,1,1,0,0,0,0
6451,Orcust,Cambios,2023-06-01,1,1,1,0,0,0
6100,Rokket,Lanzamiento Borre,2023-06-01,1,0,0,0,0,0
1131,Phantom Knights,Fantasma de la Traición,2023-06-01,1,0,0,0,0,0
6937,Orcust,Cambios,2023-06-01,1,1,0,0,0,0
3137,Odd-Eyes,Péndulo Rabioso,2023-06-01,1,0,0,0,0,0
9726,Magistus,Guerrero de la Esperanza Número 39,2023-06-01,1,0,0,0,0,0
3717,Chronomaly,Portal de Otra Dimensión,2023-06-01,1,0,0,0,0,0
5066,Rokket,Lanzamiento Borre,2023-06-01,0,1,1,0,1,0
0344,Rokket,Lanzamiento Borre,2023-06-01,0,1,0,0,0,0
6437,Speedroid,Aceleración ala Transparente,2023-06-01,0,1,0,0,0,0
7382,Speedroid,Aceleración ala Transparente,2023-06-01,0,1,0,0,0,0
